pmid,gene_ID,host_db
18545708,PY17X_0912000,PlasmoDB
18545708,PY17X_1454900,PlasmoDB
18545708,PY17X_1461100,PlasmoDB
18547337,PY17X_1106500,PlasmoDB
18547337,PF3D7_0505800,PlasmoDB
18551171,PBANKA_0902100,PlasmoDB
18551176,PF3D7_0310400,PlasmoDB
18554328,PCHAS_0314600,PlasmoDB
18554328,PF3D7_0215800,PlasmoDB
18554328,PBANKA_0312500,PlasmoDB
18554328,PKNH_0405100,PlasmoDB
18554328,PVP01_0409200,PlasmoDB
18575607,PBANKA_0402200,PlasmoDB
18593471,PF3D7_0402200,PlasmoDB
18614010,PF3D7_0424600,PlasmoDB
18614010,PF3D7_0730900,PlasmoDB
18614010,PF3D7_1002100,PlasmoDB
18614010,PF3D7_1302000,PlasmoDB
18650444,PCHAS_0708300,PlasmoDB
18650444,PF3D7_1141900,PlasmoDB
18650444,PBANKA_0907100,PlasmoDB
18650444,PKNH_0939700,PlasmoDB
18650444,PGAL8A_00369400,PlasmoDB
18650444,PRCDC_1140300,PlasmoDB
18650444,PRELSG_0939300,PlasmoDB
18650444,PVP01_0942600,PlasmoDB
18650444,PY17X_0908500,PlasmoDB
18663012,PF3D7_0904700,PlasmoDB
18663012,PBANKA_0416700,PlasmoDB
18663012,PRCDC_0902800,PlasmoDB
18663012,PmUG01_07016200,PlasmoDB
18663012,PRELSG_0701900,PlasmoDB
18663012,PVP01_0703100,PlasmoDB
