"gene_ID","pmid","has_summary","has_PD","host_db"
"TGME49_270330",27759017,TRUE,NA,"ToxoDB"
"PVP01_0505600",27759110,TRUE,NA,"PlasmoDB"
"PKNH_1322900",27759110,TRUE,NA,"PlasmoDB"
"PRCDC_1146600",27777305,TRUE,NA,"PlasmoDB"
"PF3D7_1148700",27777305,TRUE,NA,"PlasmoDB"
"CNAG_06447",27783209,TRUE,NA,"FungiDB"
"PBANKA_0512800",27832590,TRUE,NA,"PlasmoDB"
"Afu3g09690",27841851,TRUE,NA,"FungiDB"
"TGME49_256030",27932494,TRUE,NA,"ToxoDB"
"TGME49_230140",27966671,TRUE,NA,"ToxoDB"
"PKNH_1030500",28049516,TRUE,NA,"PlasmoDB"
"CNAG_06465",28061020,TRUE,NA,"FungiDB"
"NCU04866",28115989,TRUE,NA,"FungiDB"
"TGME49_285200",28148555,TRUE,NA,"ToxoDB"
"TGME49_215490",28205520,TRUE,NA,"ToxoDB"
"PBANKA_0830200",28252383,TRUE,NA,"PlasmoDB"
"NCU07253",28285007,TRUE,NA,"FungiDB"
"PF3D7_1431800",28285440,TRUE,NA,"PlasmoDB"
"TGME49_315510",28331073,TRUE,NA,"ToxoDB"
"NCU01362",28403234,TRUE,NA,"FungiDB"
"Afu2g11780",28423062,TRUE,NA,"FungiDB"
"TGME49_500312",28436089,TRUE,NA,"ToxoDB"
"NCU07788",28467421,TRUE,NA,"FungiDB"
"TGME49_226040",28475612,TRUE,NA,"ToxoDB"
"TGME49_297070",28529974,TRUE,NA,"ToxoDB"
"PCHAS_0612000",28604779,TRUE,NA,"PlasmoDB"
"CNAG_03346",28611159,TRUE,NA,"FungiDB"
"NCU09033",28616073,TRUE,NA,"FungiDB"
"PBANKA_0824500",28655332,TRUE,NA,"PlasmoDB"
"TGME49_223125",28655825,TRUE,NA,"ToxoDB"
"TGME49_270330",28671988,TRUE,NA,"ToxoDB"
"TGME49_256070",28671988,TRUE,NA,"ToxoDB"
"AN5485",28747316,TRUE,NA,"FungiDB"
"PY17X_1366000",28787542,TRUE,NA,"PlasmoDB"
"TGME49_310670",28851850,TRUE,NA,"ToxoDB"
"PBANKA_0809400",28851956,TRUE,NA,"PlasmoDB"
"AN9517",28874473,TRUE,NA,"FungiDB"
"Afu1g14070",28883073,TRUE,NA,"FungiDB"
"PBANKA_1321700",28922424,TRUE,NA,"PlasmoDB"
"PBANKA_0204600",29138437,TRUE,NA,"PlasmoDB"
"Afu4g04760",29150592,TRUE,NA,"FungiDB"
"TGME49_216140",29180989,TRUE,NA,"ToxoDB"
"TGME49_285980",29202046,TRUE,NA,"ToxoDB"
"TGME49_318580",29202046,TRUE,NA,"ToxoDB"
"TGME49_262920",29244879,TRUE,NA,"ToxoDB"
"TGME49_253370",29263399,TRUE,NA,"ToxoDB"
"PmUG01_12018200",29325573,TRUE,NA,"PlasmoDB"
"PmUG01_09042600",29325573,TRUE,NA,"PlasmoDB"
"CNAG_01319",29338542,TRUE,NA,"FungiDB"
"CNAG_06352",29338542,TRUE,NA,"FungiDB"
"TGME49_237230",29357375,TRUE,NA,"ToxoDB"
"TGME49_270700",29357375,TRUE,NA,"ToxoDB"
"NCU02193",29420579,TRUE,NA,"FungiDB"
"PVP01_1306600",29435408,TRUE,NA,"PlasmoDB"
"PKNH_0728800",29540177,TRUE,NA,"PlasmoDB"
"PF3D7_0320400",29609625,TRUE,NA,"PlasmoDB"
"PVP01_0531900",29636493,TRUE,NA,"PlasmoDB"
"PKNH_0515300",29636493,TRUE,NA,"PlasmoDB"
"CNAG_06695",29864141,TRUE,NA,"FungiDB"
"CNAG_03781",29976642,TRUE,NA,"FungiDB"
"TGME49_284540",30005062,TRUE,NA,"ToxoDB"
"PVP01_0114800",30023525,TRUE,NA,"PlasmoDB"
"PF3D7_1362200",30026605,TRUE,NA,"PlasmoDB"
"TGME49_312930",30036991,TRUE,NA,"ToxoDB"
"Afu6g11110",30044771,TRUE,NA,"FungiDB"
"AN0585",30044771,TRUE,NA,"FungiDB"
"TGME49_232500",30051161,TRUE,NA,"ToxoDB"
"PCHAS_0720500",30102727,TRUE,NA,"PlasmoDB"
"PBANKA_0711400",30102727,TRUE,NA,"PlasmoDB"
"TGME49_231870",30158461,TRUE,NA,"ToxoDB"
"TGME49_242070",30208022,TRUE,NA,"ToxoDB"
"PF3D7_0813700",30212465,TRUE,NA,"PlasmoDB"
"Afu1g13670",30279286,TRUE,NA,"FungiDB"
"PF3D7_0208900",30297725,TRUE,NA,"PlasmoDB"
"TGME49_288840",30320549,TRUE,NA,"ToxoDB"
"TGME49_234510",30352931,TRUE,NA,"ToxoDB"
"TGME49_270690",30362624,TRUE,NA,"ToxoDB"
